microtrait_rule-name	microtrait_rule-boolean
dimethylamine->methylCoM	(('dimethylamine->methylCoM-direct_or') | (('dimethylamine->monomethylamine') & ('monomethylamine->methylCoM-direct_or')))
trimethylamine->methylCoM	(('trimethylamine->methylCoM-direct_or') | (('trimethylamine->dimethylamine') & ('dimethylamine->methylCoM')))
methanethiol->methylCoM	('mmtsA')
serine pathway	('glyA' | 'agxt' | 'hprA' | 'mtkB')
PHB cycle	('phbC' | 'phaZ' | 'phaZ2')
H4MPT pathway	('fae' | 'mtdch')
H4F pathway	('fchA')
RuMP pathway	('hxlA' | 'hps-phi')
CH4->CH3OH	(('mmoX' | 'mmoY' | 'mmoZ' | 'mmoC' | 'mmoD') | ('pmoA-amoA' | 'pmoB-amoB' | 'pmoC-amoC'))
CH3OH->CH2O	('mxaF' | 'mxaJ' | 'mxaG' | 'mxaI' | 'mxaA' | 'mxaC' | 'mxaD' | 'mxaK' | 'mxaL' | 'xoxF')
methylene-H4F->methenyl-H4F	('mtdA' | 'folD')
methenyl-H4F->formyl-H4F	('fchA')
formyl-H4F->HCOO-	('ftfL')
HCOO->CO2	('fdhAF420' | 'fdhBF420')
CH2O->HCOO-	('fdhA')
CH2O->5,10methylene-THMPT	('fae' | 'fae-hps')
5,10methylene-THMPT->5,10methenyl-THMPT	('mtdA' | 'mtdB' | 'hmd')
formyl-MFR->HCOO-	(('fwdA' & 'fwdB' & 'fwdC' & 'fwdD') & ('fwdE' & 'fwdF' & 'fwdG' & 'fwdH'))
methane oxidation pmo_full	('pmoA-amoA' | 'pmoB-amoB' | 'pmoC-amoC')
methane oxidation mmo_full	('mmoX' | 'mmoY' | 'mmoZ' | 'mmoC' | 'mmoD')
methanol->formaldehyde	('mxaF' | 'mxaJ' | 'mxaG' | 'mxaI' | 'mxaR' | 'mxaA' | 'mxaC' | 'mxaD' | 'mxaK' | 'mxaL' | 'xoxF')
narGHI_and	('narG' & 'narH' & 'narI_dsrM')
narGHI_or	('narG' | 'narH' | 'narI_dsrM')
napAB_and	('napA' & 'napB')
napAB_or	('napA' | 'napB')
nirSK_and	('nirS' & 'nirK')
nirSK_or	('nirS' | 'nirK')
nirBC_and	('nirB' & 'nirC')
nirBC_or	('nirB' | 'nirC')
norBC_and	('norB' & 'norC')
norBC_or	('norB' | 'norC')
norVW_and	('norV' & 'norW')
norVW_or	('norV' | 'norW')
nasAB_and	('nasA' & 'nasB')
nasAB_or	('nasA' | 'nasB')
hzsABC_and	('hzsA' & 'hzsB' & 'hzsC')
hzsABC_or	('hzsA' | 'hzsB' | 'hzsC')
nifDKH_and	('nifD' & 'nifK' & 'nifH')
nifDKH_or	('nifD' & 'nifK' & 'nifH')
pmoamoABC_and	('pmoA-amoA' & 'pmoB-amoB' & 'pmoC-amoC')
pmoamoABC_or	('pmoA-amoA' | 'pmoB-amoB' | 'pmoC-amoC')
vnfDGKH_and	('vnfD' & 'vnfG' & 'vnfK' & 'vnfH')
vnfDGKH_or	('vnfD' | 'vnfG' | 'vnfK' | 'vnfH')
nitrate->nitrite_dissimilatory_full	('narGHI_and' | 'napAB_and')
nitrate->nitrite_dissimilatory_partial	(('narG' | 'narH' | 'narI_dsrM') | ('napA' | 'napB'))
nitrite->nitricoxide_full	('nirS' & 'nirK')
nitrite->nitricoxide_partial	('nirS' | 'nirK')
nitricoxide->nitrousoxide_full	(('norBC_and') | ('norVW_and'))
nitricoxide->nitrousoxide_partial	(('norBC_or') | ('norVW_or'))
nitrousoxide->dinitrogen	('nosZ')
nitrate->nitricoxide_complete	(('nitrate->nitrite_dissimilatory_full') & ('nitrite->nitricoxide_partial'))
nitrate->nitrousoxide_complete	(('nitrate->nitricoxide_complete') | ('nitricoxide->nitrousoxide_full'))
nitrate->dinitrogen_complete	(('nitrate->nitrousoxide_complete') & ('nitrousoxide->dinitrogen'))
nitrite->nitrate_full	('narG' & 'narH')
nitrite->nitrate_partial	('narG' | 'narH')
nitrate->nitrite_assimilatory_full	(('nasAB_and') | ('narB'))
nitrate->nitrite_assimilatory_partial	(('nasAB_or') | ('narB'))
nitrite->ammonia_dissimilatory_full	(('nirB' & 'nirD' & 'nrfA' & 'nrfH') | ('nirA'))
nitrite->ammonia_dissimilatory_partial	(('nirB' | 'nirD' | 'nrfA' | 'nrfH') | ('nirA'))
ammonia->hydroxylamine_full	('pmoamoABC_and')
ammonia->hydroxylamine_partial	('pmoamoABC_or')
hydroxylamine->nitrite	('hao')
nitrite+ammonia->hydrazine_full	(('hzsABC_and'))
nitrite+ammonia->hydrazine_partial	(('hzsABC_or'))
hydrazine->dinitrogen	('hdh')
dinitrogen->ammonia_full	(('nifD' & 'nifK' & 'nifH' & 'anfG') | ('vnfDGKH_and'))
dinitrogen->ammonia_partial	(('nifD' | 'nifK' | 'nifH' | 'anfG') | ('vnfDGKH_or'))
dinitrogen->ammonia_key	('nifH' | 'vnfH')
nitrate reduction_full	(('nitrate->nitrite_dissimilatory_full'))
nitrate reduction_partial	(('nitrate->nitrite_dissimilatory_partial'))
denitrification:nitrite->dinitrogen_full	(('nitrite->nitricoxide_full') & ('nitricoxide->nitrousoxide_full') & ('nitrousoxide->dinitrogen'))
denitrification:nitrite->dinitrogen_partial	(('nitrite->nitricoxide_partial') & ('nitricoxide->nitrousoxide_partial') & ('nitrousoxide->dinitrogen'))
denitrification:nitrate->nitrite_full	('nitrate reduction_full')
denitrification:nitrate->nitrite_partial	(('narG' | 'narH' | 'narI_dsrM') | ('napA' | 'napB'))
denitrification:nitrate->nitric oxide_full	(('denitrification:nitrate->nitrite_full') & ('nitrite->nitricoxide_full'))
denitrification:nitrate->nitric oxide_partial	(('denitrification:nitrate->nitrite_partial') & ('nitrite->nitricoxide_partial'))
denitrification:nitrate->nitrous oxide_full	(('denitrification:nitrate->nitrite_full') & ('nitrite->nitricoxide_full') & ('nitricoxide->nitrousoxide_full'))
denitrification:nitrate->nitrous oxide_partial	(('denitrification:nitrate->nitrite_partial') & ('nitrite->nitricoxide_partial') & ('nitricoxide->nitrousoxide_partial'))
denitrification:nitrate->dinitrogen_full	(('denitrification:nitrate->nitrite_full') & ('nitrite->nitricoxide_full') & ('nitricoxide->nitrousoxide_full') & ('nitrousoxide->dinitrogen'))
denitrification:nitrate->dinitrogen_partial	(('denitrification:nitrate->nitrite_partial') & ('nitrite->nitricoxide_partial') & ('nitricoxide->nitrousoxide_partial') & ('nitrousoxide->dinitrogen'))
nitrogen fixation_full	(('dinitrogen->ammonia_full'))
nitrogen fixation_partial	(('dinitrogen->ammonia_partial'))
nitrogen fixation_key	(('dinitrogen->ammonia_key'))
ammonia oxidation to nitrite_full	(('ammonia->hydroxylamine_full') & ('hydroxylamine->nitrite'))
ammonia oxidation to nitrite_partial	(('ammonia->hydroxylamine_partial') | ('hydroxylamine->nitrite'))
nitrite oxidation_full	('nitrite->nitrate_full')
nitrite oxidation_partial	('nitrite->nitrate_partial')
comammox_full	('ammonia oxidation to nitrite_full' & 'nitrite oxidation_full')
comammox_partial	('ammonia oxidation to nitrite_partial' & 'nitrite oxidation_partial')
ammonia oxidation to dinitrogen_full	(('hzsA' & 'hzsB' & 'hzsC') & ('hdh'))
ammonia oxidation to dinitrogen_partial	(('hzsA' | 'hzsB' | 'hzsC') & ('hdh'))
anammox_full	('ammonia oxidation to dinitrogen_full')
anammox_partial	('ammonia oxidation to dinitrogen_partial')
assimilatory nitrite reduction	('nirA')
dissimilatory nitrite reduction_full	('nirB' & 'nirD' & 'nrfA' & 'nrfH')
dissimilatory nitrite reduction_partial	('nirB' | 'nirD' | 'nrfA' | 'nrfH')
assimilatory nitrate reduction_full	('nitrate->nitrite_assimilatory_full' & 'assimilatory nitrite reduction')
assimilatory nitrate reduction_partial	('nitrate->nitrite_assimilatory_partial' & 'assimilatory nitrite reduction')
dissimilatory nitrate reduction_full	('nitrate->nitrite_dissimilatory_full' & 'dissimilatory nitrite reduction_full')
dissimilatory nitrate reduction_partial	('nitrate->nitrite_dissimilatory_partial' & 'dissimilatory nitrite reduction_full')
ammonia assimilation to glutamate-GDH	('gudB' | 'gdh2' | 'gdhA_1' | 'gdhA_2')
ammonia assimilation to glutamate-GS_GOGAT	(('gltB' | 'gltD' | 'gltS1') & 'glnA')
ammonia assimilation to glutamate	('ammonia assimilation to glutamate-GDH') | ('ammonia assimilation to glutamate-GS_GOGAT')
ammonia assimilation to glutamine-GS	('glnA')
glutamine to aspartate	('aspB' | 'aspC' | 'yhdR')
phosphatase	('phoA' | 'phoD' | 'phoN' | 'aphA')
phytase	('phy' | 'appA')
oxygenic photosystem I core	('psaA' | 'psaB' | 'psaC' | 'psaD' | 'psaE' | 'psaF')
oxygenic photosystem I side	('psaI' | 'psaJ' | 'psaK' | 'psaL' | 'psaM' | 'psaX')
oxygenic photosystem I	(('oxygenic photosystem I core') & ('oxygenic photosystem I side'))
oxygenic photosystem II core	('psbA' | 'psbB' | 'psbC' | 'psbD' | 'psbE' | 'psbF')
oxygenic photosystem II side	('psbH' | 'psbI' | 'psbJ' | 'psbK' | 'psbL' | 'psbM' | 'psbO' | 'psbP' | 'psbT' | 'psbY' | 'psbZ' | 'psb27' | 'psb28')
oxygenic photosystem II sidecyano	('psbU' | 'psbV' | 'psbX' | 'psb28-2')
oxygenic photosystem II	(('oxygenic photosystem II core') & (('oxygenic photosystem II side') | ('oxygenic photosystem II sidecyano')))
cytochrome b6f	('petA' & 'petB' & 'petC' & 'petD')
cytochrome b6f_or	('petA' | 'petB' | 'petC' | 'petD' | 'petG' | 'petL' | 'petM' | 'petN')
photosynthetic ETC	('petE' & 'petF' & 'petH' & 'petJ')
photosynthetic ETC_or	('petE' | 'petF' | 'petH' | 'petJ')
anoxygenic photosystem II RC	('pufL' | 'pufM' | 'puhA' | 'pufX' | 'pufC')
anoxygenic photosystem II LH B870	('pufA' | 'pufB')
anoxygenic photosystem II LH B800B850	('pucA' | 'pucB')
anoxygenic photosystem II LH	(('anoxygenic photosystem II LH B870') | ('anoxygenic photosystem II LH B800B850'))
anoxygenic photosystem I RC	('pscA' | 'pscB' | 'pscC' | 'pscD')
anoxygenic photosystem I bacteriochlorophyll A	('fmoA')
anoxygenic photosystem I chlorosome	('csmA' | 'csmB' | 'csmC' | 'csmD' | 'csmE' | 'csmF' | 'csmH' | 'csmI' | 'csmJ' | 'csmX')
phycobilisome allophycocyanin	('apcA' | 'apcB' | 'apcC' | 'apcD' | 'apcE' | 'apcF')
phycobilisome phycocyanin	('cpcA' | 'cpcB' | 'cpcC' | 'cpcD' | 'cpcE' | 'cpcF' | 'rpcG' | 'cpcG')
phycobilisome phycoerythrocyanin	('pecA' | 'pecB' | 'pecC' | 'pecE' | 'pecF')
phycobilisome phycoerythrin	('cpeA' | 'cpeB' | 'cpeC' | 'cpeD' | 'cpeE' | 'cpeR' | 'cpeS' | 'cpeT' | 'cpeU' | 'cpeY' | 'cpeZ')
phycobilisome chlorophyll a/b	('pcbA' | 'pcbB' | 'pcbC' | 'pcbD' | 'pcbE' | 'pcbF' | 'pcbG' | 'pcbH')
protoporphyrin IX->Mg protoporphyrin IX	('bchH')
Mg protoporphyrin IX->Mg protoporphyrin IX 13-monomethyl ester	('bchM')
Mg protoporphyrin IX 13-monomethyl ester->divinyl protochlorophyllide	('bchE' | 'chlE')
divinyl protochlorophyllide->protochlorophyllide	('bciB' | 'bchJ')
protochlorophyllide->chlorophyllide a	('por' | 'chlL')
chlorophyllide a->8ethyl12methyl3vinyl bacteriochlorophyllide d	('bciC')
chlorophyllide a->3hydroxyethyl bacteriochlorophyllide a	('bchX' | 'bchF')
8ethyl12methyl3vinyl bacteriochlorophyllide d->bacteriochlorophyllide d	('bchV')
3hydroxyethyl bacteriochlorophyllide a->bacteriochlorophyllide a	('bchC')
bacteriochlorophyllide d->bacteriochlorophyllide c	('bchU')
bacteriochlorophyllide d->bacteriochlorophyll d	('bchK')
bacteriochlorophyllide c->bacteriochlorophyll c	('bchK')
bacteriochlorophyllide c->bacteriochlorophyll e	('bciD')
bacteriochlorophyllide a->geranylgeranyl bacteriochlorophyllide a	('bchG')
bacteriochlorophyllide b->geranylgeranyl bacteriochlorophyllide b	('bchG')
oxygenic chlorophyll a synthesis	('bchG')
geranylgeranyl bacteriochlorophyllide a->bacteriochlorophyll a	('bchP')
geranylgeranyl bacteriochlorophyllide b->bacteriochlorophyll b	('bchP')
bacteriochlorophyllide a->bacteriochlorophyll a	(('bacteriochlorophyllide a->geranylgeranyl bacteriochlorophyllide a') & ('geranylgeranyl bacteriochlorophyllide a->bacteriochlorophyll a'))
bacteriochlorophyllide b->bacteriochlorophyll b	(('bacteriochlorophyllide b->geranylgeranyl bacteriochlorophyllide b') & ('geranylgeranyl bacteriochlorophyllide b->bacteriochlorophyll b'))
protoporphyrin IX->chlorophyllide a	(('protoporphyrin IX->Mg protoporphyrin IX') & ('Mg protoporphyrin IX->Mg protoporphyrin IX 13-monomethyl ester') & ('Mg protoporphyrin IX 13-monomethyl ester->divinyl protochlorophyllide') & ('divinyl protochlorophyllide->protochlorophyllide') & ('protochlorophyllide->chlorophyllide a'))
chlorophyllide a->bacteriochlorophyllide d	('bciC' & 'bchV')
chlorophyllide a->bacteriochlorophyllide a	(('bchX' | 'bchF') & 'bchC')
protoporphyrin IX->bacteriochlorophyllide d	(('protoporphyrin IX->chlorophyllide a') & ('chlorophyllide a->bacteriochlorophyllide d'))
protoporphyrin IX->bacteriochlorophyllide a	(('protoporphyrin IX->chlorophyllide a') & ('chlorophyllide a->bacteriochlorophyllide a'))
bacteriochlorophyllide d->bacteriochlorophyll c	(('bacteriochlorophyllide d->bacteriochlorophyllide c') & ('bacteriochlorophyllide c->bacteriochlorophyll c'))
bacteriochlorophyllide d->bacteriochlorophyll e	(('bacteriochlorophyllide d->bacteriochlorophyllide c') & ('bacteriochlorophyllide c->bacteriochlorophyll e'))
bacteriochlorophyll a synthesis	(('protoporphyrin IX->chlorophyllide a') & ('chlorophyllide a->bacteriochlorophyllide a') & ('bacteriochlorophyllide a->bacteriochlorophyll a'))
bacteriochlorophyll b synthesis	(('protoporphyrin IX->chlorophyllide a') & ('chlorophyllide a->bacteriochlorophyllide a') & ('bacteriochlorophyllide a->bacteriochlorophyll a'))
bacteriochlorophyll c synthesis	(('protoporphyrin IX->chlorophyllide a') & ('chlorophyllide a->bacteriochlorophyllide d') & ('bacteriochlorophyllide d->bacteriochlorophyll c'))
bacteriochlorophyll d synthesis	(('protoporphyrin IX->chlorophyllide a') & ('chlorophyllide a->bacteriochlorophyllide d') & ('bacteriochlorophyllide d->bacteriochlorophyll d'))
bacteriochlorophyll e synthesis	(('protoporphyrin IX->chlorophyllide a') & ('chlorophyllide a->bacteriochlorophyllide d') & ('bacteriochlorophyllide d->bacteriochlorophyll e'))
GGPP->phytoene	('crtB')
phytoene->phytofluene	('crtI' | 'crtP')
phytofluene->zeta carotene	('crtI' | 'crtP')
zeta carotene->neurosporene	('crtI' | 'crtQ')
neurosporene->hydroxy-neurosporene	('crtC')
hydroxy-neurosporene->demethyl-spheroidene	('crtD')
demethyl-spheroidene->spheroidene	('crtF')
spheroidene->spheroidenone	('crtA')
neurosporene->lycopene	('crtI' | 'crtQ')
lycopene->gamma carotene	('crtY' | 'crtL1' | 'cruA')
gamma carotene->beta carotene	('crtY' | 'crtL1' | 'cruA')
beta carotene->beta isorenieratene	('crtU')
beta isorenieratene->isorenieratene	('crtU')
gamma carotene->chlorobactene	('crtU')
lycopene->tetrahydro-spirilloxanthin	('crtC' & 'crtF')
lycopene->spirilloxanthin	('crtC' & 'crtD' & 'crtF')
lycopene->okenone	('crtU')
neurosporene->spheroidene	('crtC' & 'crtD' & 'crtF')
neurosporene biosynthesis	(('GGPP->phytoene') & ('phytoene->phytofluene') & ('phytofluene->zeta carotene') & ('zeta carotene->neurosporene'))
lycopene biosynthesis	(('neurosporene biosynthesis') & ('neurosporene->lycopene'))
gammacarotene biosynthesis	(('lycopene biosynthesis') & ('lycopene->gamma carotene'))
betacarotene biosynthesis	(('gammacarotene biosynthesis') & ('gamma carotene->beta carotene'))
betaisorenieratene biosynthesis	(('betacarotene biosynthesis') & ('beta carotene->beta isorenieratene'))
isorenieratene biosynthesis	(('betaisorenieratene biosynthesis') & ('beta isorenieratene->isorenieratene'))
chlorobactene biosynthesis	(('gammacarotene biosynthesis') & ('gamma carotene->chlorobactene'))
spirilloxanthin biosynthesis	(('lycopene biosynthesis') & (('lycopene->tetrahydro-spirilloxanthin') | ('lycopene->spirilloxanthin')))
okenone biosynthesis	(('lycopene biosynthesis') & ('lycopene->okenone'))
spheroidenone biosynthesis	(('neurosporene biosynthesis') & ('neurosporene->spheroidene') & ('spheroidene->spheroidenone'))
diaponeurosporene biosynthesis	('crtM' | 'crtN')
hydroxyspheroidenone biosynthesis	('neurosporene biosynthesis') & ('neurosporene->hydroxy-neurosporene')
ggt	('ggt')
pepA_M17	('pepA_M17')
pepA_M42	('pepA_M42')
pepN	('pepN')
pepT	('pepT')
pip	('pip')
pepP	('pepP')
map	('map')
dmpA	('dmpA')
pepD_M20	('pepD_M20')
pepD_S1	('pepD_S1')
pepQ	('pepQ')
pepX	('pepX')
dcp	('dcp')
cpg	('cpg')
ldcA	('ldcA')
E3.4.17.19	('E3.4.17.19')
pcp	('pcp')
iadA	('iadA')
yqgT	('yqgT')
sspA	('sspA')
E3.4.21.50	('E3.4.21.50')
lon	('lon')
iga_hap	('iga_hap')
iga_zmpA	('iga_zmpA')
ptrB	('ptrB')
clpP	('clpP')
ptrA	('ptrA')
prlC	('prlC')
hslV	('hslV')
bepA	('bepA')
cpaA	('cpaA')
hofD	('hofD')
pilD	('pilD')
lepB	('lepB')
lspA	('lspA')
psmA	('psmA')
psmB	('psmB')
hyaD	('hyaD')
prc	('prc')
hflB	('hflB')
lonB	('lonB')
hhoB	('hhoB')
lonH	('lonH')
degP	('degP')
degQ	('degQ')
sppA	('sppA')
sohB	('sohB')
ydgD	('ydgD')
pfpI	('pfpI')
E3.4.11.10	('E3.4.11.10')
pepE	('pepE')
cpt	('cpt')
gpr	('gpr')
spoIIGA	('spoIIGA')
preP	('preP')
dacC	('dacC')
dacB	('dacB')
vanY	('vanY')
mepA	('mepA')
pbpG	('pbpG')
pqqL	('pqqL')
pepO	('pepO')
loiP	('loiP')
pepB	('pepB')
flaK	('flaK')
prtC_M10	('prtC_M10')
prtC_U32	('prtC_U32')
hycI	('hycI')
ypdF	('ypdF')
pgtE	('pgtE')
tpr	('tpr')
yopJ	('yopJ')
yopT	('yopT')
pepF	('pepF')
E3.4.17.14	('E3.4.17.14')
vanX	('vanX')
lasA	('lasA')
lef	('lef')
scpA	('scpA')
pepDA	('pepDA')
tri	('tri')
nprB	('nprB')
mtfA	('mtfA')
rseP	('rseP')
cps	('cps')
iaaA	('iaaA')
wprA	('wprA')
isp	('isp')
bpr	('bpr')
epr	('epr')
sipW	('sipW')
avrRpt2	('avrRpt2')
avrPphB	('avrPphB')
icsP	('icsP')
mepS	('mepS')
trf2_3	('trf2_3')
aprE1	('aprE1')
aprE2	('aprE2')
vpr	('vpr')
dppA	('dppA')
erfK	('erfK')
yydH	('yydH')
cwlK	('cwlK')
aprX	('aprX')
frvX	('frvX')
sprE	('sprE')
ptpA	('ptpA')
vanXY	('vanXY')
ampH	('ampH')
cwlS	('cwlS')
lytF	('lytF')
lytE	('lytE')
gluP	('gluP')
ynhG	('ynhG')
ybiS	('ybiS')
ycfS	('ycfS')
mepH	('mepH')
mepM	('mepM')
mpl	('mpl')
ampS	('ampS')
ywaD	('ywaD')
E3.4.11.24	('E3.4.11.24')
zmp1	('zmp1')
alpha-LP	('alpha-LP')
zmpA	('zmpA')
zmpB_M26	('zmpB_M26')
zmpB_M4	('zmpB_M4')
nisP	('nisP')
tet	('tet')
sgcX	('sgcX')
ykfC	('ykfC')
E3.4.24.32	('E3.4.24.32')
bapA	('bapA')
E3.4.21.121	('E3.4.21.121')
impA	('impA')
pbp4b	('pbp4b')
ycbB	('ycbB')
cwlO	('cwlO')
lytH	('lytH')
ripA	('ripA')
ripB	('ripB')
hpxW	('hpxW')
E3.4.24.33	('E3.4.24.33')
pipA	('pipA')
tpdA	('tpdA')
prsW	('prsW')
patG	('patG')
sulfate<->APS	('sat')
APS<->sulfite_and	('aprA' & 'aprB')
APS<->sulfite_or	('aprA' | 'aprB')
dsrAB_and	('dsrA' & 'dsrB')
dsrAB_or	('dsrA' | 'dsrB')
dsrEFH_and	('dsrE' & 'dsrF' & 'dsrH')
dsrEFH_or	('dsrE' | 'dsrF' | 'dsrH')
asrABC_and	('asrA' & 'asrB' & 'asrC')
asrABC_or	('asrA' | 'asrB' | 'asrC')
sulfate->sulfite-reduction	('APS<->sulfite_and' & 'sulfate<->APS')
sulfite->sulfide-reduction	(('dsrAB_and' & 'dsrD' & !'dsrEFH_and') | ('asrABC_and') | ('mccA'))
sulfate->sulfide-reduction	('sulfate->sulfite-reduction' & 'sulfite->sulfide-reduction')
sreABC_and	('sreA' & 'sreB' & 'sreC')
sreABC_or	('sreA' | 'sreB' | 'sreC')
shyd_and	('hydG' & 'hydB_4')
shyd_or	('hydG' | 'hydB_4')
sulfur->sulfide-reduction	('sreABC_and' | 'shyd_and')
sorAB_and	('sorA' & 'sorB')
sorAB_or	('sorA' | 'sorB')
soeABC_and	('soeA' & 'soeB' & 'soeC')
soeABC_or	('soeA' | 'soeB' | 'soeC')
sulfite->sulfate-oxidation	(('APS<->sulfite_and' & 'sulfate<->APS') | ('sorAB_and') | ('soeABC_and'))
sulfide->sulfur-oxidation	(('fccA' & 'fccB') | 'sqr')
sulfur->sulfite-oxidation	('dsrAB_and' & 'dsrEFH_and' & !'dsrD')
sulfur->sulfate-oxidation	('dsrAB_and' & 'dsrEFH_and' & !'dsrD' & 'APS<->sulfite_and' & 'sulfate<->APS')
sulfur->sulfide+sulfite+thiosulfate-disproportionation	('sor')
phsABC_and	('phsA' & 'phsB' & 'phsC')
phsABC_or	('phsA' | 'phsB' | 'phsC')
thiosulfate->sulfite+sulfide-disproportionation	('phsABC_and')
thiosulfate->sulfite+sulfide-disproportionation1	('phsABC_and' | 'sseA')
sox_and	('soxB' & 'soxC' & 'soxD')
sox_or	('soxB' | 'soxC' | 'soxD')
thiosulfate->sulfate	('sox_and')
doxAD_and	('doxA' & 'doxD')
thiosulfate->tetrathionate-oxidation	('doxAD_and' | 'tsdA')
ttrABC_and	('ttrA' & 'ttrB_dsrO' & 'ttrC')
ttrABC_or	('ttrA' | 'ttrB_dsrO' | 'ttrC')
tetrathionate->thiosulfate-reduction	('ttrABC_and')
DMSO->DMS_and	('dmsA' & 'dmsB' & 'dmsC')
DMSO->DMS_or	('dmsA' | 'dmsB' | 'dmsC')
DMSP->DMS	('dddL')
hdr1_and	('hdrA1' & 'hdrB1' & 'hdrC1')
hdr1_or	('hdrA1' | 'hdrB1' | 'hdrC1')
hdr2_and	('hdrA2' & 'hdrB2' & 'hdrC2')
hdr2_or	('hdrA2' | 'hdrB2' | 'hdrC2')
sulfate->sulfite-assimilatory	('sulfate->APS-assimilatory_and' & 'APS->sulfite' & 'sulfite->sulfide-assimilatory_and')
sulfite->sulfide-assimilatory_and	(('cysI' & 'cysJ') | 'sir')
sulfite->sulfide-assimilatory_or	('cysI' | 'cysJ' | 'sir')
APS->sulfite	('cysC' & 'cysH')
sulfate->APS-assimilatory_and	('cysNC' & 'cysN' & 'cysD')
sulfate->APS-assimilatory_or	('cysNC' | 'cysN' | 'cysD')
katE	('katE')
katG	('katG')
alginate biosynthesis/transport	('algK' | 'algE')
Psl polysaccharide biosynthesis/export	('pslA' | 'pslB' | 'pslD' | 'pslE' | 'pslF' | 'pslG' | 'pslH' | 'pslI' | 'pslJ' | 'pslK' | 'pslL')
Pel polysaccharide biosynthesis/export	('pelA' | 'pelB' | 'pelC' | 'pelD' | 'pelE' | 'pelF' | 'pelG')
Vi polysaccharide biosynthesis/export	('vexA' | 'vexB' | 'vexC' | 'vexD')
lipopolysaccharide assembly/export	('lptA' | 'lptB' | 'lptC' | 'lptD' | 'lptE' | 'lptF' | 'lptG')
colanic acid biosynthesis/exporter	('wzxC' | 'wcaB' | 'wcaC' | 'wcaD' | 'wcaE' | 'wcaF' | 'wcaI' | 'wcaJ' | 'wcaK' | 'wcaL' | 'wcaM')
exopolysaccharide production	('exoF' | 'exoY')
hsp10	('groES')
hsp24	('grpE')
hsp40	('dnaJ')
hsp60	('groEL' | 'cct')
hsp70	('dnaK')
hsp100_key	('hslU')
hsp100_or	('clpA' | 'clpB' | 'clpC' | 'clpE' | 'clpL' | 'clpX' | 'hslU')
hsp100_and	('clpA' & 'clpB' & 'clpC' & 'clpE' & 'clpL' & 'clpX' & 'hslU')
lon_or	(('lon') | ('lonB'))
heatinducibleTF	('hrcA')
TAsystemTypeII_generalstress	(('mazFE_and') | ('relEB_and'))
phoQP_and	('phoQ' & 'phoP')
mazFE_and	('mazF' & 'mazE')
relEB_and	('relE' & 'relB')
sodA	('sodA')
cspA	('cspA')
desA	('desA')
desKR	(('desK') | ('desR'))
deaD	('deaD')
rnr	('rnr')
pnp	('pnp')
ahpCF	(('ahpC_1' | 'ahpC_2' | 'ahpC_3') & ('ahpF'))
glutamate->glutamyl phosphate	('proB')
glutamyl phosphate->glutamic semialdehyde	('proA')
pyrroline5carboxylate->proline	('proC')
glutamate->glutamic semialdehyde	(('glutamate->glutamyl phosphate') & ('glutamyl phosphate->glutamic semialdehyde'))
glutamate->proline	(('glutamate->glutamic semialdehyde') & ('pyrroline5carboxylate->proline'))
ornithine->pyrroline5carboxylate	('rocD')
ornithine->proline	(('ocd') | (('rocD') & ('proC')))
proline_biosynthesis	(('glutamate->proline') | ('ornithine->proline'))
UDP-glucose+G6P->trehalose 6-phospate	('otsA')
trehalose 6-phospate->trehalose	(('otsB') | ('tps'))
trehalose_biosynthesis	(('UDP-glucose+G6P->trehalose 6-phospate') & ('trehalose 6-phospate->trehalose'))
choline->betaine aldehyde	('betA' | 'gbsB' | 'codA')
betaine aldehyde->betaine	('betB' | 'codA')
betaine_biosynthesis	(('choline->betaine aldehyde') & ('betaine aldehyde->betaine'))
glucosylglycerate_biosynthesis	(('ggs') | ('gpgP'))
mannosylglucosylglycerate_biosynthesis	(('mggA' & 'gpgP') | ('ggs' & 'mggS'))
mannosylglycerate_biosynthesis	(('mngA' & 'mngB') | ('mgs'))
proline transport	('proP')
glycine betaine/proline transport system	(('proV') | ('proW') | ('proX'))
glycine betaine transporter	('betL')
choline/glycine/proline betaine transport	('betT')
mechanosensitive channel	(('mscS') | ('mscL'))
TF_redox	(('oxyR') | ('soxR') | ('perR') | ('ohrR'))
urease	(('ureA') | ('ureB') | ('ureC') | ('ureAB'))
arginine antiporter	('adiC')
adiA	('adiA')
speA	('speA')
pdaD	('pdaD')
arginine decarboxylase	(('adiA') | ('speA') | ('pdaD'))
arginine amidinase	('rocF')
glutaminase	('glsA')
glutamate dependent acid tolerance	(('gadAB') | ('gadC'))
lysine decarboxylase	('cadA')
lysine antiporter	('cadB')
ornithine decarboxylase	('speF')
ornithine antiporter	('potE')
hdeAB	(('hdeA') | ('hdeB'))
cfa	('cfa')
nrsSR	(('nrsS') & ('nrsR'))
arcAB	(('arcA') & ('arcB'))
devSR	(('devS') & ('devR'))
regAB	(('regA') & ('regB'))
resED	(('resE') & ('resD'))
prrAB	(('prrA') & ('prrB'))
nreB	('nreB')
baeRS	(('baeR') & ('baeS'))
cpxAR	(('cpxA') & ('cpxR'))
cpxP	('cpxP')
phage shock protein	(('pspA') | ('pspB') | ('pspC') | ('pspD'))
aaeB	('aaeB')
aap_full	('aapJ' & 'aapQ' & 'aapM' & 'aapP')
aap_key	('aapJ')
abgT	('abgT')
acrD	('acrD')
