microtrait_rule-name	microtrait_rule-boolean
acetyl-CoA->propionyl-CoA	(('acetyl-CoA+HCO3->malonyl-CoA') & ('malonyl-CoA->malonate semialdehyde') & ('malonate semialdehyde->3-hydroxypropanoate') & ('3-hydroxypropanoate->3-hydroxypropanoyl-CoA') & ('3-hydroxypropanoyl-CoA->acryloyl-CoA') & ('acryloyl-CoA->propionyl-CoA'))
propionyl-CoA->acetyl-CoA_CO2fixation	(('propionyl-CoA+HCO3->S-methylmalonyl-CoA') & ('S-methylmalonyl-CoA<->R-methylmalonyl-CoA') & ('R-methylmalonyl-CoA<->succinyl-CoA') & ('malate->malyl-CoA_or') & ('succinate->fumarate_key') & ('fumarate->malate_full') & ('malyl-CoA->glyoxylate+acetyl-CoA'))
propionyl-CoA->acetyl-CoA_glyoxylateassim	(('propionyl-CoA+glyoxylate->beta-methylmalyl-CoA') & ('beta-methylmalyl-CoA->3-methylfumaroyl-CoA') & ('3-methylfumaroyl-CoA->3-methylfumaryl-CoA') & ('3-methylfumaryl-CoA->3S-citramalyl-CoA') & ('3S-citramalyl-CoA->acetyl-CoA+pyruvate'))
3hpb1_full	(('acetyl-CoA->propionyl-CoA') & ('propionyl-CoA->acetyl-CoA_CO2fixation') & ('propionyl-CoA->acetyl-CoA_glyoxylateassim'))
3hpb1_CO2fixation	(('propionyl-CoA+HCO3->S-methylmalonyl-CoA') & ('acetyl-CoA+HCO3->malonyl-CoA'))
3hpb1_key1	(('malonyl-CoA->malonate semialdehyde') & ('acryloyl-CoA->propionyl-CoA'))
3hpb1_key2	(('malonyl-CoA->malonate semialdehyde') & ('propionyl-CoA+glyoxylate->beta-methylmalyl-CoA'))
CO->CO2	('cdhA' | 'cdhB' | 'cooF' | 'cooS')
CO2->formate_and	('fdh.NADP+A' & 'fdh.NADP+B')
CO2->formate_or	('fdh.NADP+A' | 'fdh.NADP+B')
formate->formyl-THF	('ftfL')
formyl-THF->methenyl-THF	('folD')
methenyl-THF->methylene-THF	('formyl-THF->methenyl-THF')
methylene-THF->methyl-THF	('metF')
methyl-THF->methyl-CoFeSP	('acsE')
methyl-CoFeSP+CO->acetyl-CoA	('acsB' | ('acsC' & 'acsD'))
acetyl-CoA->acetyl-P	('pta1' | 'pta2' | 'pta3')
acetyl-P<->acetate	('ackA')
CO2->CO	('cooF' | 'cooS')
rac_full	(('CO->CO2') & ('CO2->formate_or') & ('formate->formyl-THF') & ('formyl-THF->methenyl-THF') & ('methylene-THF->methyl-THF') & ('methyl-THF->methyl-CoFeSP') & ('methyl-CoFeSP+CO->acetyl-CoA') & ('CO2->CO') & ('acetyl-CoA->acetyl-P') & ('acetyl-P<->acetate'))
rac_CO2fixation	('methyl-CoFeSP+CO->acetyl-CoA')
rac_key1	(('CO2->formate_or') & ('CO2->CO'))
rac_key2	(('methyl-CoFeSP+CO->acetyl-CoA') & ('CO2->CO'))
succinyl-CoA->succinate semialdehyde	('asd1' | 'asd2')
succinate semialdehyde->4-hydroxybutyrate	('ssadh')
4-hydroxybutyrate->4-hydroxybutyryl-CoA	('4hbl1' & '4hbl2' & '4hbl3')
4-hydroxybutyryl-CoA->crotonoyl-CoA	('abfD')
crotonoyl-CoA->3-hydroxybutyryl-CoA	('cch-hbcd')
3-hydroxybutyryl-CoA->acetoacetyl-CoA	('cch-hbcd')
acetoacetyl-CoA->acetyl-CoA	('atoB')
