functional group	relationtype	taxa	taxa_original	taxalevel	reference
nitrate_respiration	annotation	add_group:nitrate_ammonification	add_group:nitrate_ammonification	annotation	
nitrite_ammonification	annotation	add_group:nitrate_ammonification	add_group:nitrate_ammonification	annotation	# assuming that all nitrate ammonifiers are also nitrite ammonifiers
nitrogen_respiration	annotation	add_group:nitrate_ammonification	add_group:nitrate_ammonification	annotation	
denitrification	annotation	add_group:nitrate_denitrification	add_group:nitrate_denitrification	annotation	
nitrate_respiration	annotation	add_group:nitrate_denitrification	add_group:nitrate_denitrification	annotation	
nitrite_denitrification	annotation	add_group:nitrate_denitrification	add_group:nitrate_denitrification	annotation	# assuming that all nitrate denitrifiers are also nitrite denitrifiers
nitrate_reduction	annotation	add_group:nitrate_respiration	add_group:nitrate_respiration	annotation	
nitrogen_respiration	annotation	add_group:nitrate_respiration	add_group:nitrate_respiration	annotation	
nitrite_respiration	annotation	add_group:nitrite_ammonification	add_group:nitrite_ammonification	annotation	
nitrogen_respiration	annotation	add_group:nitrite_ammonification	add_group:nitrite_ammonification	annotation	
denitrification	annotation	add_group:nitrite_denitrification	add_group:nitrite_denitrification	annotation	
nitrite_respiration	annotation	add_group:nitrite_denitrification	add_group:nitrite_denitrification	annotation	
nitrous_oxide_denitrification	annotation	add_group:nitrite_denitrification	add_group:nitrite_denitrification	annotation	# assuming that all nitite denitrifiers are also N2O denitrifiers
nitrogen_respiration	annotation	add_group:nitrite_respiration	add_group:nitrite_respiration	annotation	
denitrification	annotation	add_group:nitrous_oxide_denitrification	add_group:nitrous_oxide_denitrification	annotation	
chemoheterotrophy	annotation	add_group:oil_bioremediation	add_group:oil_bioremediation	annotation	
photoautotrophy	annotation	add_group:oxygenic_photoautotrophy	add_group:oxygenic_photoautotrophy	annotation	
phototrophy	annotation	add_group:photoautotrophy	add_group:photoautotrophy	annotation	
phototrophy	annotation	add_group:photoheterotrophy	add_group:photoheterotrophy	annotation	
respiration_of_sulfur_compounds	annotation	add_group:sulfate_respiration	add_group:sulfate_respiration	annotation	
respiration_of_sulfur_compounds	annotation	add_group:sulfite_respiration	add_group:sulfite_respiration	annotation	
respiration_of_sulfur_compounds	annotation	add_group:sulfur_respiration	add_group:sulfur_respiration	annotation	
respiration_of_sulfur_compounds	annotation	add_group:thiosulfate_respiration	add_group:thiosulfate_respiration	annotation	
chemoheterotrophy	annotation	add_group:xylanolysis	add_group:xylanolysis	annotation	
aerobic_ammonia_oxidation	annotation	aerobic_ammonia_oxidation	aerobic_ammonia_oxidation	annotation	elements:N,O; main_element:N; electron_donor:N; electron_acceptor:O; aerobic:yes; exclusively_prokaryotic:yes; light_dependent:no
aerobic_anoxygenic_phototrophy	annotation	aerobic_anoxygenic_phototrophy	aerobic_anoxygenic_phototrophy	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:C; aerobic:yes; exclusively_prokaryotic:yes; light_dependent:yes
aerobic_chemoheterotrophy	annotation	aerobic_chemoheterotrophy	aerobic_chemoheterotrophy	annotation	elements:C,O; main_element:C; electron_donor:C; electron_acceptor:O; aerobic:yes; exclusively_prokaryotic:no; light_dependent:no
aerobic_nitrite_oxidation	annotation	aerobic_nitrite_oxidation	aerobic_nitrite_oxidation	annotation	elements:N,O; main_element:N; electron_donor:N; electron_acceptor:O; aerobic:yes; exclusively_prokaryotic:yes; light_dependent:no
aliphatic_non_methane_hydrocarbon_degradation	annotation	aliphatic_non_methane_hydrocarbon_degradation	aliphatic_non_methane_hydrocarbon_degradation	annotation	elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
anammox	annotation	anammox	anammox	annotation	elements:N; main_element:N; electron_donor:N; electron_acceptor:N; aerobic:no; exclusively_prokaryotic:yes; light_dependent:no
animal_parasites_or_symbionts	annotation	animal_parasites_or_symbionts	animal_parasites_or_symbionts	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
anoxygenic_photoautotrophy	annotation	anoxygenic_photoautotrophy	anoxygenic_photoautotrophy	annotation	elements:C,variable; main_element:variable; electron_donor:variable; electron_acceptor:C; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:yes
anoxygenic_photoautotrophy_Fe_oxidizing	annotation	anoxygenic_photoautotrophy_Fe_oxidizing	anoxygenic_photoautotrophy_Fe_oxidizing	annotation	elements:Fe,C; main_element:Fe; electron_donor:Fe; electron_acceptor:C; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:yes
anoxygenic_photoautotrophy_H2_oxidizing	annotation	anoxygenic_photoautotrophy_H2_oxidizing	anoxygenic_photoautotrophy_H2_oxidizing	annotation	elements:H,C; main_element:H; electron_donor:H; electron_acceptor:C; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:yes
anoxygenic_photoautotrophy_S_oxidizing	annotation	anoxygenic_photoautotrophy_S_oxidizing	anoxygenic_photoautotrophy_S_oxidizing	annotation	elements:S,C; main_element:S; electron_donor:S; electron_acceptor:C; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:yes
aromatic_compound_degradation	annotation	aromatic_compound_degradation	aromatic_compound_degradation	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
aromatic_hydrocarbon_degradation	annotation	aromatic_hydrocarbon_degradation	aromatic_hydrocarbon_degradation	annotation	elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
arsenate_detoxification	annotation	arsenate_detoxification	arsenate_detoxification	annotation	elements:As; main_element:As; electron_donor:variable; electron_acceptor:As; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no
arsenate_respiration	annotation	arsenate_respiration	arsenate_respiration	annotation	elements:As; main_element:As; electron_donor:variable; electron_acceptor:As; aerobic:no; exclusively_prokaryotic:yes; light_dependent:no
arsenite_oxidation_detoxification	annotation	arsenite_oxidation_detoxification	arsenite_oxidation_detoxification	annotation	elements:As; main_element:As; electron_donor:As; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no
arsenite_oxidation_energy_yielding	annotation	arsenite_oxidation_energy_yielding	arsenite_oxidation_energy_yielding	annotation	elements:As; main_element:As; electron_donor:As; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no
cellulolysis	annotation	cellulolysis	cellulolysis	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
chemoheterotrophy	annotation	chemoheterotrophy	chemoheterotrophy	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
chitinolysis	annotation	chitinolysis	chitinolysis	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
chlorate_reducers	annotation	chlorate_reducers	chlorate_reducers	annotation	elements:C; main_element:C; electron_donor:variable; electron_acceptor:Cl; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
chloroplasts	annotation	chloroplasts	chloroplasts	annotation	elements:C,O; main_element:C; electron_donor:O; electron_acceptor:C; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:yes
cyanobacteria	annotation	cyanobacteria	cyanobacteria	annotation	elements:C,O; main_element:C; electron_donor:O; electron_acceptor:C; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:yes
dark_hydrogen_oxidation	annotation	dark_hydrogen_oxidation	dark_hydrogen_oxidation	annotation	elements:H; main_element:H; electron_donor:H; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no
dark_iron_oxidation	annotation	dark_iron_oxidation	dark_iron_oxidation	annotation	elements:Fe; main_element:Fe; electron_donor:Fe; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no
dark_oxidation_of_sulfur_compounds	annotation	dark_oxidation_of_sulfur_compounds	dark_oxidation_of_sulfur_compounds	annotation	elements:S; main_element:S; electron_donor:S; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no
dark_sulfide_oxidation	annotation	dark_sulfide_oxidation	dark_sulfide_oxidation	annotation	elements:S; main_element:S; electron_donor:S; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no
dark_sulfite_oxidation	annotation	dark_sulfite_oxidation	dark_sulfite_oxidation	annotation	elements:S; main_element:S; electron_donor:S; electron_acceptor:variable; aerobic:no; exclusively_prokaryotic:yes; light_dependent:no
dark_sulfur_oxidation	annotation	dark_sulfur_oxidation	dark_sulfur_oxidation	annotation	elements:S; main_element:S; electron_donor:S; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no
dark_thiosulfate_oxidation	annotation	dark_thiosulfate_oxidation	dark_thiosulfate_oxidation	annotation	elements:S; main_element:S; electron_donor:S; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no
denitrification	annotation	denitrification	denitrification	annotation	elements:N; main_element:N; electron_donor:variable; electron_acceptor:N; aerobic:no; exclusively_prokaryotic:no; light_dependent:no
dissimilatory_arsenate_reduction	annotation	dissimilatory_arsenate_reduction	dissimilatory_arsenate_reduction	annotation	elements:As; main_element:As; electron_donor:variable; electron_acceptor:As; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no
dissimilatory_arsenite_oxidation	annotation	dissimilatory_arsenite_oxidation	dissimilatory_arsenite_oxidation	annotation	elements:As; main_element:As; electron_donor:As; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no
fermentation	annotation	fermentation	fermentation	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:none; aerobic:no; exclusively_prokaryotic:no; light_dependent:no
fish_parasites	annotation	fish_parasites	fish_parasites	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
fumarate_respiration	annotation	fumarate_respiration	fumarate_respiration	annotation	elements:C; main_element:C; electron_donor:variable; electron_acceptor:C; aerobic:no; exclusively_prokaryotic:yes; light_dependent:no
human_gut	annotation	human_gut	human_gut	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
human_pathogens_all	annotation	human_pathogens_all	human_pathogens_all	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
human_pathogens_diarrhea	annotation	human_pathogens_diarrhea	human_pathogens_diarrhea	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
human_pathogens_gastroenteritis	annotation	human_pathogens_gastroenteritis	human_pathogens_gastroenteritis	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
human_pathogens_meningitis	annotation	human_pathogens_meningitis	human_pathogens_meningitis	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
human_pathogens_nosocomia	annotation	human_pathogens_nosocomia	human_pathogens_nosocomia	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
human_pathogens_pneumonia	annotation	human_pathogens_pneumonia	human_pathogens_pneumonia	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
human_pathogens_septicemia	annotation	human_pathogens_septicemia	human_pathogens_septicemia	annotation	elements:C; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
hydrocarbon_degradation	annotation	hydrocarbon_degradation	hydrocarbon_degradation	annotation	elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:no; light_dependent:no
